symbol,rsi_daily,rsi_weekly,rsi_monthly,ENTRY_READY
LUPIN,60.88,61.15,66,True
GRMOVER,59.3,69.74,75,True
INFOBEAN,57.58,70.99,72,True
JSWSTEEL,58.02,62.58,69,True
SMSPHARMA,57.06,60.08,68,True
NAVINFLUOR,62.14,67.6,71,True
INDIACEM,60.09,64.34,71,True
NMDC,57.23,60.01,60,True
ATALREAL,61.8,72.2,68,True
IOC,58.12,62.32,61,True
ABCAPITAL,44.42,63.08,70,True
LTF,44.51,62.78,68,True
TVSHLTD,60.81,63.18,68,True
SAIL,60.92,65.97,61,True
VEDL,62.46,82.02,82,True
TATASTEEL,62.67,68.98,66,True
TORNTPHARM,58.68,66.07,72,True
BANKINDIA,62.63,76.8,64,True
SANSERA,57.05,62.54,68,True
CANFINHOME,61.82,70.08,63,True
MWL,62.59,71.27,75,True
RELIABLE,62.23,62.87,68,True
